"Start Date"	"End Date"	"Page Views"	"Total Sales"	"Total Orders"	"Conversion Rate"	"# Your Product(s) that were added to a Cart"	"# of People who added Your Product(s) to their Wishlist"	"# of Signups to all Your Product(s) Waitlist(s)"
"2022-04-17"	"2022-04-23"	"198"	"$0.00"	"0"	"0.00%"	"0"	"4"	"9"
"2022-04-10"	"2022-04-16"	"188"	"$522.63"	"2"	"1.06%"	"2"	"1"	"2"
"2022-04-03"	"2022-04-09"	"149"	"$0.00"	"0"	"0.00%"	"0"	"0"	"5"
"2022-03-27"	"2022-04-02"	"264"	"$0.00"	"0"	"0.00%"	"0"	"0"	"1"
"2022-03-20"	"2022-03-26"	"221"	"$0.00"	"0"	"0.00%"	"0"	"0"	"5"
"2022-03-13"	"2022-03-19"	"536"	"$960.75"	"4"	"0.75%"	"9"	"5"	"12"
"2022-03-06"	"2022-03-12"	"432"	"$168.96"	"1"	"0.23%"	"5"	"0"	"3"
"2022-02-27"	"2022-03-05"	"282"	"$179.27"	"1"	"0.35%"	"5"	"0"	"3"
"2022-02-20"	"2022-02-26"	"170"	"$0.00"	"0"	"0.00%"	"0"	"0"	"1"
"2022-02-13"	"2022-02-19"	"249"	"$0.00"	"0"	"0.00%"	"0"	"0"	"9"
"2022-02-06"	"2022-02-12"	"295"	"$524.34"	"2"	"0.68%"	"2"	"1"	"7"
"2022-01-30"	"2022-02-05"	"304"	"$0.00"	"0"	"0.00%"	"0"	"1"	"2"
"2022-01-23"	"2022-01-29"	"337"	"$0.00"	"0"	"0.00%"	"0"	"6"	"9"
"2022-01-16"	"2022-01-22"	"267"	"$0.00"	"0"	"0.00%"	"0"	"0"	"6"
"2022-01-09"	"2022-01-15"	"324"	"$0.00"	"0"	"0.00%"	"0"	"0"	"7"
"2022-01-02"	"2022-01-08"	"280"	"$0.00"	"0"	"0.00%"	"0"	"1"	"4"
"2021-12-26"	"2022-01-01"	"220"	"$0.00"	"0"	"0.00%"	"0"	"0"	"3"
"2021-12-19"	"2021-12-25"	"262"	"$0.00"	"0"	"0.00%"	"0"	"2"	"3"
"2021-12-12"	"2021-12-18"	"268"	"$0.00"	"0"	"0.00%"	"0"	"0"	"4"
"2021-12-05"	"2021-12-11"	"229"	"$0.00"	"0"	"0.00%"	"0"	"0"	"7"
"2021-11-28"	"2021-12-04"	"188"	"$0.00"	"0"	"0.00%"	"0"	"1"	"6"
"2021-11-21"	"2021-11-27"	"191"	"$0.00"	"0"	"0.00%"	"0"	"0"	"3"
"2021-11-14"	"2021-11-20"	"196"	"$0.00"	"0"	"0.00%"	"0"	"0"	"5"
"2021-11-07"	"2021-11-13"	"216"	"$0.00"	"0"	"0.00%"	"0"	"1"	"3"
"2021-10-31"	"2021-11-06"	"271"	"$0.00"	"0"	"0.00%"	"0"	"1"	"3"
"2021-10-24"	"2021-10-30"	"243"	"$0.00"	"0"	"0.00%"	"0"	"0"	"7"
"2021-10-17"	"2021-10-23"	"303"	"$0.00"	"0"	"0.00%"	"1"	"0"	"8"
"2021-10-10"	"2021-10-16"	"479"	"$0.00"	"0"	"0.00%"	"2"	"0"	"3"
"2021-10-03"	"2021-10-09"	"537"	"$0.00"	"0"	"0.00%"	"1"	"2"	"1"
"2021-09-26"	"2021-10-02"	"352"	"$778.13"	"4"	"1.14%"	"6"	"0"	"3"
"2021-09-19"	"2021-09-25"	"384"	"$179.27"	"1"	"0.26%"	"2"	"0"	"4"
"2021-09-12"	"2021-09-18"	"383"	"$514.85"	"2"	"0.52%"	"4"	"2"	"3"
"2021-09-05"	"2021-09-11"	"290"	"$168.96"	"1"	"0.34%"	"7"	"0"	"0"
"2021-08-29"	"2021-09-04"	"298"	"$262.17"	"1"	"0.34%"	"5"	"1"	"1"
"2021-08-22"	"2021-08-28"	"327"	"$508.68"	"2"	"0.61%"	"4"	"3"	"4"
"2021-08-15"	"2021-08-21"	"240"	"$0.00"	"0"	"0.00%"	"0"	"0"	"3"
"2021-08-08"	"2021-08-14"	"286"	"$254.34"	"1"	"0.35%"	"1"	"2"	"5"
"2021-08-01"	"2021-08-07"	"323"	"$1071.52"	"5"	"1.55%"	"9"	"1"	"10"
"2021-07-25"	"2021-07-31"	"230"	"$0.00"	"0"	"0.00%"	"0"	"0"	"3"
"2021-07-18"	"2021-07-24"	"414"	"$262.17"	"1"	"0.24%"	"3"	"3"	"9"
"2021-07-11"	"2021-07-17"	"334"	"$528.65"	"2"	"0.60%"	"7"	"0"	"6"
"2021-07-04"	"2021-07-10"	"236"	"$0.00"	"0"	"0.00%"	"1"	"0"	"12"
"2021-06-27"	"2021-07-03"	"328"	"$1048.68"	"4"	"1.22%"	"13"	"4"	"3"
"2021-06-20"	"2021-06-26"	"373"	"$260.46"	"1"	"0.27%"	"5"	"1"	"5"
"2021-06-13"	"2021-06-19"	"377"	"$262.17"	"1"	"0.27%"	"2"	"2"	"3"
"2021-06-06"	"2021-06-12"	"364"	"$784.80"	"3"	"0.82%"	"7"	"2"	"5"
"2021-05-30"	"2021-06-05"	"883"	"$262.17"	"1"	"0.11%"	"3"	"1"	"14"
"2021-05-23"	"2021-05-29"	"715"	"$536.13"	"3"	"0.42%"	"7"	"3"	"13"
"2021-05-16"	"2021-05-22"	"328"	"$0.00"	"0"	"0.00%"	"0"	"3"	"1"
"2021-05-09"	"2021-05-15"	"237"	"$777.02"	"3"	"1.27%"	"7"	"3"	"9"
"2021-05-02"	"2021-05-08"	"268"	"$331.25"	"2"	"0.75%"	"5"	"1"	"7"
"2021-04-25"	"2021-05-01"	"345"	"$1218.46"	"5"	"1.45%"	"10"	"3"	"3"
"2021-04-18"	"2021-04-24"	"305"	"$179.27"	"1"	"0.33%"	"8"	"3"	"3"
"2021-04-11"	"2021-04-17"	"307"	"$0.00"	"0"	"0.00%"	"3"	"0"	"5"
"2021-04-04"	"2021-04-10"	"336"	"$0.00"	"0"	"0.00%"	"1"	"0"	"9"
"2021-03-28"	"2021-04-03"	"273"	"$800.30"	"3"	"1.10%"	"6"	"0"	"9"
"2021-03-21"	"2021-03-27"	"312"	"$0.00"	"0"	"0.00%"	"0"	"0"	"8"
"2021-03-14"	"2021-03-20"	"430"	"$956.29"	"4"	"0.93%"	"4"	"0"	"13"
"2021-03-07"	"2021-03-13"	"450"	"$933.82"	"5"	"1.11%"	"14"	"0"	"4"
"2021-02-28"	"2021-03-06"	"422"	"$0.00"	"0"	"0.00%"	"1"	"1"	"3"
"2021-02-21"	"2021-02-27"	"519"	"$252.96"	"1"	"0.19%"	"3"	"0"	"6"
"2021-02-14"	"2021-02-20"	"276"	"$490.26"	"2"	"0.72%"	"4"	"1"	"7"
"2021-02-07"	"2021-02-13"	"305"	"$467.23"	"3"	"0.98%"	"3"	"0"	"13"
"2021-01-31"	"2021-02-06"	"257"	"$0.00"	"0"	"0.00%"	"0"	"0"	"6"
"2021-01-24"	"2021-01-30"	"523"	"$942.76"	"4"	"0.76%"	"5"	"1"	"10"
"2021-01-17"	"2021-01-23"	"310"	"$252.96"	"1"	"0.32%"	"8"	"2"	"5"
"2021-01-10"	"2021-01-16"	"343"	"$0.00"	"0"	"0.00%"	"0"	"0"	"5"
"2021-01-03"	"2021-01-09"	"368"	"$757.23"	"3"	"0.82%"	"4"	"0"	"7"
"2020-12-27"	"2021-01-02"	"256"	"$0.00"	"0"	"0.00%"	"0"	"1"	"12"
"2020-12-20"	"2020-12-26"	"277"	"$0.00"	"0"	"0.00%"	"0"	"0"	"8"
"2020-12-13"	"2020-12-19"	"427"	"$1058.52"	"7"	"1.64%"	"9"	"1"	"15"
"2020-12-06"	"2020-12-12"	"321"	"$252.96"	"1"	"0.31%"	"1"	"2"	"4"
"2020-11-29"	"2020-12-05"	"579"	"$252.96"	"1"	"0.17%"	"3"	"2"	"19"
"2020-11-22"	"2020-11-28"	"432"	"$0.00"	"0"	"0.00%"	"0"	"1"	"12"
"2018-11-18"	"2018-11-24"	"76"	"$0.00"	"0"	"0.00%"	"1"	"1"	"0"
"2018-11-25"	"2018-12-01"	"160"	"$0.00"	"0"	"0.00%"	"5"	"1"	"0"
"2018-12-02"	"2018-12-08"	"70"	"$114.25"	"1"	"1.43%"	"1"	"1"	"0"
"2018-12-09"	"2018-12-15"	"111"	"$0.00"	"0"	"0.00%"	"0"	"1"	"0"
"2018-12-16"	"2018-12-22"	"124"	"$0.00"	"0"	"0.00%"	"0"	"2"	"0"
"2018-12-23"	"2018-12-29"	"63"	"$0.00"	"0"	"0.00%"	"0"	"0"	"0"
"2018-12-30"	"2019-01-05"	"81"	"$230.20"	"2"	"2.47%"	"2"	"1"	"0"
"2019-01-13"	"2019-01-19"	"78"	"$0.00"	"0"	"0.00%"	"0"	"0"	"2"
"2019-01-06"	"2019-01-12"	"114"	"$115.10"	"1"	"0.88%"	"3"	"0"	"2"
"2019-01-20"	"2019-01-26"	"194"	"$0.00"	"0"	"0.00%"	"0"	"1"	"14"
"2019-02-03"	"2019-02-09"	"118"	"$0.00"	"0"	"0.00%"	"0"	"1"	"1"
"2019-01-27"	"2019-02-02"	"94"	"$0.00"	"0"	"0.00%"	"0"	"0"	"4"
"2019-02-10"	"2019-02-16"	"69"	"$0.00"	"0"	"0.00%"	"0"	"0"	"2"
"2019-02-17"	"2019-02-23"	"192"	"$620.28"	"4"	"2.08%"	"9"	"0"	"4"
"2019-02-24"	"2019-03-02"	"312"	"$0.00"	"0"	"0.00%"	"0"	"1"	"14"
"2019-03-03"	"2019-03-09"	"165"	"$513.66"	"3"	"1.82%"	"10"	"1"	"2"
"2019-03-10"	"2019-03-16"	"123"	"$0.00"	"0"	"0.00%"	"0"	"0"	"1"
"2019-03-17"	"2019-03-23"	"77"	"$0.00"	"0"	"0.00%"	"0"	"0"	"2"
"2019-03-24"	"2019-03-30"	"102"	"$348.70"	"2"	"1.96%"	"4"	"0"	"2"
"2019-04-07"	"2019-04-13"	"125"	"$168.96"	"1"	"0.80%"	"2"	"2"	"0"
"2019-03-31"	"2019-04-06"	"132"	"$344.71"	"2"	"1.52%"	"3"	"3"	"0"
"2019-04-14"	"2019-04-20"	"57"	"$0.00"	"0"	"0.00%"	"1"	"0"	"0"
"2019-04-21"	"2019-04-27"	"211"	"$367.76"	"2"	"0.95%"	"3"	"0"	"0"
"2019-04-28"	"2019-05-04"	"145"	"$183.88"	"1"	"0.69%"	"3"	"1"	"0"
"2019-05-05"	"2019-05-11"	"192"	"$367.76"	"2"	"1.04%"	"11"	"0"	"0"
"2019-05-12"	"2019-05-18"	"135"	"$183.88"	"1"	"0.74%"	"25"	"0"	"1"
"2019-05-19"	"2019-05-25"	"62"	"$0.00"	"0"	"0.00%"	"0"	"0"	"4"
"2019-05-26"	"2019-06-01"	"13"	"$0.00"	"0"	"0.00%"	"0"	"1"	"2"
"2019-06-02"	"2019-06-08"	"366"	"$933.48"	"6"	"1.64%"	"14"	"1"	"7"
"2019-06-09"	"2019-06-15"	"165"	"$0.00"	"0"	"0.00%"	"0"	"2"	"7"
"2019-06-16"	"2019-06-22"	"145"	"$497.77"	"3"	"2.07%"	"4"	"1"	"1"
"2019-06-23"	"2019-06-29"	"97"	"$183.88"	"1"	"1.03%"	"2"	"0"	"1"
"2019-06-30"	"2019-07-06"	"120"	"$166.38"	"1"	"0.83%"	"3"	"1"	"3"
"2019-07-07"	"2019-07-13"	"333"	"$0.00"	"0"	"0.00%"	"3"	"1"	"9"
"2019-07-14"	"2019-07-20"	"192"	"$404.82"	"3"	"1.56%"	"5"	"2"	"5"
"2019-07-21"	"2019-07-27"	"166"	"$0.00"	"0"	"0.00%"	"0"	"0"	"18"
"2019-07-28"	"2019-08-03"	"386"	"$837.77"	"5"	"1.30%"	"6"	"1"	"19"
"2019-08-04"	"2019-08-10"	"136"	"$0.00"	"0"	"0.00%"	"0"	"0"	"2"
"2019-08-11"	"2019-08-17"	"147"	"$183.88"	"1"	"0.68%"	"5"	"0"	"1"
"2019-08-18"	"2019-08-24"	"169"	"$183.88"	"1"	"0.59%"	"2"	"0"	"1"
"2019-08-25"	"2019-08-31"	"162"	"$543.82"	"3"	"1.85%"	"4"	"0"	"5"
"2019-09-01"	"2019-09-07"	"370"	"$183.88"	"1"	"0.27%"	"2"	"1"	"3"
"2019-09-15"	"2019-09-21"	"243"	"$286.26"	"2"	"0.82%"	"5"	"0"	"0"
"2019-09-08"	"2019-09-14"	"215"	"$485.81"	"3"	"1.40%"	"8"	"1"	"1"
"2019-09-22"	"2019-09-28"	"182"	"$321.71"	"2"	"1.10%"	"5"	"0"	"0"
"2019-09-29"	"2019-10-05"	"248"	"$528.93"	"2"	"0.81%"	"8"	"4"	"0"
"2019-10-13"	"2019-10-19"	"344"	"$317.11"	"2"	"0.58%"	"7"	"1"	"1"
"2019-10-20"	"2019-10-26"	"265"	"$873.35"	"5"	"1.89%"	"13"	"0"	"0"
"2019-10-06"	"2019-10-12"	"224"	"$297.90"	"2"	"0.89%"	"3"	"1"	"0"
"2019-11-17"	"2019-11-23"	"192"	"$136.93"	"1"	"0.52%"	"3"	"2"	"2"
"2019-10-27"	"2019-11-02"	"169"	"$174.91"	"1"	"0.59%"	"4"	"3"	"2"
"2019-11-03"	"2019-11-09"	"208"	"$313.04"	"2"	"0.96%"	"5"	"2"	"0"
